jpeg_variant,target_size_kb,image_name,decoded_size_kb,encoded_size_kb,brisque,niqe,nima,clip
j2k,125,testimages_carrots,1792.8193359375,117.1884765625,16.69354248046875,3.6959221637558426,5.371775150299072,0.5104374289512634
j2k,125,testimages_chairs,1543.66015625,116.9375,68.94256591796875,8.2612255640963,5.609286785125732,0.7078784704208374
j2k,125,testimages_clips,1935.3564453125,117.17578125,96.55621337890625,11.86287603059956,5.178962230682373,0.37270957231521606
j2k,125,testimages_coins,1878.763671875,117.1240234375,4.70672607421875,2.8885509346978644,4.525153636932373,0.5292905569076538
j2k,125,testimages_cushions,1645.2578125,116.8701171875,17.97625732421875,4.150440413215206,4.414433002471924,0.3934994339942932
j2k,125,testimages_ducks,1627.154296875,117.14453125,44.28582763671875,7.784733451712753,4.989853858947754,0.7396981120109558
j2k,125,testimages_fence,1648.431640625,117.10546875,49.72088623046875,6.153804702763195,5.407046794891357,0.4967697560787201
j2k,125,testimages_flowers,1873.0966796875,117.1826171875,15.00897216796875,3.5776230008092282,4.360625743865967,0.5843693017959595
j2k,125,testimages_garden_table,1875.6953125,116.794921875,9.52069091796875,2.559133426673478,4.71611213684082,0.5706749558448792
j2k,125,testimages_guitar_bridge,1793.552734375,117.1923828125,-5.88946533203125,4.746120562678133,4.876226425170898,0.4878043234348297
j2k,125,testimages_guitar_fret,1681.5419921875,117.13671875,26.84979248046875,4.244972982303863,4.778276443481445,0.4687013626098633
j2k,125,testimages_guitar_head,1824.228515625,117.1875,29.53875732421875,4.160177042086376,4.728275775909424,0.7060325741767883
j2k,125,testimages_keyboard_a,1818.904296875,117.1494140625,5.60321044921875,7.456788427181804,4.9163007736206055,0.3707035183906555
j2k,125,testimages_keyboard_b,1803.203125,117.1162109375,22.04608154296875,3.6034393570603824,4.263542175292969,0.5121904611587524
j2k,125,testimages_lion,1422.8544921875,117.169921875,7.67547607421875,3.7439832200949055,4.763199806213379,0.7677319049835205
j2k,125,testimages_multimeter,1816.646484375,117.17578125,17.05877685546875,3.162122911535989,3.9976141452789307,0.573601484298706
j2k,125,testimages_pencils_a,1586.4541015625,117.1630859375,74.94305419921875,6.36230133912059,5.4177751541137695,0.7312937378883362
j2k,125,testimages_pencils_b,1576.119140625,117.169921875,69.64031982421875,5.07182469877823,5.5320258140563965,0.6044760346412659
j2k,125,testimages_pillar,1717.259765625,116.8505859375,10.94451904296875,2.7864379584071686,4.5425519943237305,0.7106720805168152
j2k,125,testimages_plastic,1819.8896484375,117.052734375,24.80291748046875,6.339209519251708,5.1410088539123535,0.7544752359390259
j2k,125,testimages_roof,1431.240234375,117.140625,102.41424560546875,11.964868275872595,4.987344264984131,0.5198060274124146
j2k,125,testimages_scarf,1954.5517578125,116.888671875,47.18133544921875,6.157246456964552,4.6940813064575195,0.5000256299972534
j2k,125,testimages_screws,1933.5361328125,117.158203125,29.29559326171875,5.031737921377474,4.926535606384277,0.433641254901886
j2k,125,testimages_snails,1689.73046875,117.1953125,24.90740966796875,4.09432738704956,4.646538734436035,0.4156513214111328
j2k,125,testimages_socks,1944.4658203125,117.1748046875,-6.01544189453125,4.509142414842216,5.325164794921875,0.35434722900390625
j2k,125,testimages_sweets,1773.8203125,117.1142578125,30.00701904296875,5.629134104574376,4.400264263153076,0.40780171751976013
j2k,125,testimages_tomatoes_a,1715.1484375,117.19140625,36.78973388671875,8.890398175981938,5.1943559646606445,0.4781534671783447
j2k,125,testimages_tomatoes_b,1658.830078125,117.1748046875,45.11737060546875,7.235539104808256,4.484560489654541,0.3720666766166687
j2k,125,testimages_tools_a,1807.75,117.154296875,29.31561279296875,4.268586312668722,4.675469875335693,0.31446540355682373
j2k,125,testimages_tools_b,1811.8466796875,117.0537109375,20.50897216796875,5.359157413885983,4.692481517791748,0.6975213885307312
j2k,125,testimages_wood_game,1500.0927734375,117.173828125,17.42401123046875,4.853658456781017,4.562376022338867,0.5466654300689697
j2k,150,testimages_almonds,1850.65625,140.6044921875,11.83953857421875,2.605342760768332,4.601174831390381,0.4552862048149109
j2k,150,testimages_apples,1664.97265625,140.63671875,19.71063232421875,4.405461148903873,4.5163140296936035,0.7881190180778503
j2k,150,testimages_baloons,1701.12109375,140.638671875,39.05096435546875,6.759941446289729,4.577260971069336,0.47939759492874146
j2k,150,testimages_bananas,1760.7412109375,140.6064453125,8.92108154296875,4.796268849129694,4.140967845916748,0.8049991726875305
j2k,150,testimages_billiard_balls_a,1619.392578125,140.490234375,50.59490966796875,5.388075012013784,4.845029830932617,0.45984965562820435
j2k,150,testimages_billiard_balls_b,1721.6015625,140.5009765625,19.28240966796875,3.579898590682116,4.863099098205566,0.4487919807434082
j2k,150,testimages_building,1706.9814453125,140.5,27.04998779296875,4.0982938576845305,4.75634765625,0.525465190410614
j2k,150,testimages_cards_a,1848.251953125,140.587890625,7.17254638671875,3.0964225257262843,4.89883279800415,0.4593287408351898
j2k,150,testimages_cards_b,1647.86328125,140.5556640625,5.82537841796875,5.517428101490715,5.472702503204346,0.4384998381137848
j2k,150,testimages_carrots,1798.9345703125,140.58203125,14.85711669921875,3.5467375419296188,5.37948751449585,0.5309687852859497
j2k,150,testimages_chairs,1558.4970703125,140.5908203125,67.99627685546875,8.315463257483085,5.60783052444458,0.7090863585472107
j2k,150,testimages_clips,1937.1552734375,140.5703125,96.58251953125,12.025022228821054,5.18497896194458,0.4175061285495758
